15,16,2,1
16,17,3,2
17,18,4,3
18,19,5,4
19,20,6,5
20,21,7,6
21,22,8,7
22,23,9,8
23,24,10,9
24,25,11,10
25,26,12,11
26,27,13,12
27,28,14,13
29,30,16,15
30,31,17,16
31,32,18,17
32,33,19,18
33,34,20,19
34,35,21,20
35,36,22,21
36,37,23,22
37,38,24,23
38,39,25,24
39,40,26,25
40,41,27,26
41,42,28,27
43,44,30,29
44,45,31,30
45,46,32,31
46,47,33,32
47,48,34,33
48,49,35,34
49,50,36,35
50,51,37,36
51,52,38,37
52,53,39,38
53,54,40,39
54,55,41,40
55,56,42,41
57,58,44,43
58,59,45,44
59,60,46,45
60,61,47,46
61,62,48,47
62,63,49,48
63,64,50,49
64,65,51,50
65,66,52,51
66,67,53,52
67,68,54,53
68,69,55,54
69,70,56,55
71,72,58,57
72,73,59,58
73,74,60,59
74,75,61,60
75,76,62,61
76,77,63,62
77,78,64,63
78,79,65,64
79,80,66,65
80,81,67,66
81,82,68,67
82,83,69,68
83,84,70,69
85,86,72,71
86,87,73,72
87,88,74,73
88,89,75,74
89,90,76,75
90,91,77,76
91,92,78,77
92,93,79,78
93,94,80,79
94,95,81,80
95,96,82,81
96,97,83,82
97,98,84,83
99,100,86,85
100,101,87,86
101,102,88,87
102,103,89,88
103,104,90,89
104,105,91,90
105,106,92,91
106,107,93,92
107,108,94,93
108,109,95,94
109,110,96,95
110,111,97,96
111,112,98,97
113,114,100,99
114,115,101,100
115,116,102,101
116,117,103,102
117,118,104,103
118,119,105,104
119,120,106,105
120,121,107,106
121,122,108,107
122,123,109,108
123,124,110,109
124,125,111,110
125,126,112,111
